epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9007,1.99802,6.67741,1.75404,0.04162,0.24,0.0211,0.00579,2.28548,6.26895,2.17699,0.09406,6e-05,6e-05
2,21.5624,1.80684,5.23172,1.73351,0.16948,0.44,0.1552,0.05717,1.97554,10.7107,2.04024,0.0871297,0.000129743,0.000129743
3,34.8425,1.53305,1.60893,1.43573,0.20081,0.4,0.21849,0.07938,2.02105,5.22698,2.09165,0.0801992,0.000199208,0.000199208
4,46.9115,1.44913,1.196,1.33774,0.25398,0.32701,0.21565,0.09547,1.87215,3.04834,1.8172,0.0732684,0.000268396,0.000268396
5,58.9324,1.37393,1.04184,1.23311,0.42804,0.68,0.53951,0.26124,1.94325,1.75024,1.87575,0.0663373,0.000337307,0.000337307
6,71.1888,1.41243,0.96684,1.24194,0.72878,0.48,0.64091,0.32635,1.79615,1.50221,1.6001,0.0594059,0.000405941,0.000405941
7,83.7646,1.34481,0.91655,1.20774,0.92374,0.56,0.72196,0.37638,1.82402,1.46694,1.69555,0.0524743,0.000474298,0.000474298
8,95.4255,1.32388,0.83591,1.18435,0.87313,0.6,0.69556,0.37452,1.7166,1.30658,1.56605,0.0455424,0.000542377,0.000542377
9,108.061,1.22786,0.79436,1.15014,0.77824,0.6,0.68624,0.38044,1.61942,1.551,1.56773,0.0386102,0.000610179,0.000610179
10,120.311,1.2559,0.77423,1.18413,0.74,0.6,0.68745,0.38112,1.61902,1.61556,1.5017,0.0316777,0.000677704,0.000677704
11,133.461,1.2083,0.74385,1.12438,0.7595,0.76,0.74481,0.39063,1.59804,1.95316,1.56185,0.024745,0.000744952,0.000744952
12,143.479,1.24428,0.79822,1.15675,0.81354,0.52,0.69512,0.31978,1.80155,1.96317,1.80747,0.0178119,0.000811923,0.000811923
13,153.396,1.20702,0.78804,1.12985,0.41514,0.36,0.43934,0.21558,1.84812,2.8953,2.01833,0.0108786,0.000878616,0.000878616
14,164.262,1.17292,0.7646,1.14021,0.88706,0.62879,0.6963,0.34416,1.71524,2.09563,1.69691,0.00394503,0.000945032,0.000945032
15,175.63,1.1583,0.73338,1.09999,0.90693,0.52,0.6667,0.35928,1.65849,1.61983,1.63427,0.00097228,0.00097228,0.00097228
16,187.464,1.16482,0.74189,1.11224,0.81806,0.68,0.7461,0.39028,1.70328,1.83921,1.78134,0.0009703,0.0009703,0.0009703
17,197.998,1.16114,0.73929,1.10173,0.91249,0.64,0.74437,0.38961,1.73654,1.78762,1.79275,0.00096832,0.00096832,0.00096832
18,208.958,1.07297,0.65856,1.08005,0.88961,0.76,0.80759,0.41657,1.80718,0.96224,1.74257,0.00096634,0.00096634,0.00096634
19,220.624,1.135,0.71201,1.10934,0.93347,0.72,0.79943,0.40181,1.93634,1.03891,1.84347,0.00096436,0.00096436,0.00096436
20,231.87,1.02789,0.6171,1.05578,0.89579,0.76,0.87048,0.43992,1.86921,1.00984,1.84708,0.00096238,0.00096238,0.00096238
21,244.018,1.09978,0.68157,1.0894,0.90438,0.8,0.84175,0.43191,1.83463,1.25072,1.78775,0.0009604,0.0009604,0.0009604
22,256.052,1.0922,0.66644,1.09386,0.72671,0.88,0.83985,0.41125,1.96156,1.03839,1.96236,0.00095842,0.00095842,0.00095842
23,267.12,1.09341,0.67068,1.10394,0.88642,0.62488,0.79533,0.39175,2.02366,1.10429,1.90795,0.00095644,0.00095644,0.00095644
24,276.972,1.02754,0.65956,1.07818,0.95201,0.79374,0.88908,0.41641,1.84247,1.15367,1.72051,0.00095446,0.00095446,0.00095446
25,290.008,1.04874,0.67626,1.06211,0.95215,0.79607,0.88832,0.40791,1.88893,1.14807,1.78269,0.00095248,0.00095248,0.00095248
26,303.923,1.06733,0.65952,1.07069,0.72616,0.74289,0.74982,0.35917,1.90651,1.47755,1.81107,0.0009505,0.0009505,0.0009505
27,317.731,1.10302,0.67769,1.09184,0.84344,0.64675,0.77262,0.43603,1.7064,1.06627,1.63398,0.00094852,0.00094852,0.00094852
28,331.8,1.06263,0.63409,1.06713,0.89938,0.76,0.85794,0.44176,1.64373,1.01181,1.5775,0.00094654,0.00094654,0.00094654
